,team,opponent,gf,ga,match_result,head_to_head,head_to_head_goals
979,Chelsea,Sheffield Utd,2,2,0,0.5,2.0
980,Chelsea,Everton,6,0,1,0.0,2.25
981,Chelsea,Arsenal,0,5,-1,-0.75,1.0
982,Chelsea,Aston Villa,2,2,0,-0.25,1.25
983,Chelsea,Tottenham,2,0,1,0.75,2.5
984,Chelsea,West Ham,5,0,1,0.5,2.25
985,Chelsea,Nott'ham Forest,3,2,1,0.0,1.5
986,Chelsea,Brighton,2,1,1,0.25,1.75
987,Chelsea,Bournemouth,2,1,1,0.6666666666666666,1.3333333333333333
988,NewcastleUnited,Aston Villa,5,1,1,1.0,4.0
989,NewcastleUnited,Manchester City,0,1,-1,-1.0,1.0
990,NewcastleUnited,Liverpool,1,2,-1,-1.0,1.5
991,NewcastleUnited,Brighton,1,3,-1,-0.5,1.0
992,NewcastleUnited,Brentford,1,0,1,1.0,2.5
993,NewcastleUnited,Sheffield Utd,8,0,1,1.0,6.5
994,NewcastleUnited,Burnley,2,0,1,1.0,3.0
995,NewcastleUnited,West Ham,2,2,0,0.5,3.0
996,NewcastleUnited,Crystal Palace,4,0,1,0.0,2.0
997,NewcastleUnited,Wolves,2,2,0,0.5,2.5
998,NewcastleUnited,Arsenal,1,0,1,0.0,1.0
999,NewcastleUnited,Bournemouth,0,2,-1,-0.5,1.0
1000,NewcastleUnited,Chelsea,4,1,1,0.0,3.0
1001,NewcastleUnited,Manchester Utd,1,0,1,0.0,1.5
1002,NewcastleUnited,Everton,0,3,-1,-0.5,0.5
1003,NewcastleUnited,Tottenham,1,4,-1,0.0,2.5
1004,NewcastleUnited,Fulham,3,0,1,1.0,2.0
1005,NewcastleUnited,Luton Town,0,1,-1,-0.5,2.0
1006,NewcastleUnited,Nott'ham Forest,1,3,-1,0.0,2.0
1007,NewcastleUnited,Liverpool,2,4,-1,-1.0,1.5
1008,NewcastleUnited,Manchester City,2,3,-1,-1.0,1.0
1009,NewcastleUnited,Aston Villa,3,1,1,1.0,4.0
1010,NewcastleUnited,Luton Town,4,4,0,-0.5,2.0
1011,NewcastleUnited,Nott'ham Forest,3,2,1,0.0,2.0
1012,NewcastleUnited,Bournemouth,2,2,0,-0.5,1.0
1013,NewcastleUnited,Arsenal,1,4,-1,0.0,1.0
1014,NewcastleUnited,Wolves,3,0,1,0.5,2.5
1015,NewcastleUnited,Chelsea,2,3,-1,0.0,3.0
1016,NewcastleUnited,West Ham,4,3,1,0.5,3.0
1017,NewcastleUnited,Everton,1,1,0,-0.5,0.5
1018,NewcastleUnited,Fulham,1,0,1,1.0,2.0
1019,NewcastleUnited,Tottenham,4,0,1,0.0,2.5
1020,NewcastleUnited,Crystal Palace,0,2,-1,0.0,2.0
1021,NewcastleUnited,Sheffield Utd,5,1,1,1.0,6.5
1022,NewcastleUnited,Burnley,4,1,1,1.0,3.0
1023,NewcastleUnited,Brighton,1,1,0,-0.5,1.0
1024,NewcastleUnited,Manchester Utd,2,3,-1,0.0,1.5
1025,NewcastleUnited,Brentford,4,2,1,1.0,2.5
1026,ManchesterUnited,Wolves,1,0,1,1.0,2.5
1027,ManchesterUnited,Tottenham,0,2,-1,-0.5,1.0
1028,ManchesterUnited,Nott'ham Forest,3,2,1,0.0,2.0
1029,ManchesterUnited,Arsenal,1,3,-1,-1.0,0.5
1030,ManchesterUnited,Brighton,1,3,-1,0.0,1.5
1031,ManchesterUnited,Burnley,1,0,1,0.5,1.0
1032,ManchesterUnited,Crystal Palace,0,1,-1,-1.0,0.0
1033,ManchesterUnited,Brentford,2,1,1,0.5,1.5
1034,ManchesterUnited,Sheffield Utd,2,1,1,1.0,3.0
1035,ManchesterUnited,Manchester City,0,3,-1,-1.0,0.5
1036,ManchesterUnited,Fulham,1,0,1,0.0,1.0
1037,ManchesterUnited,Luton Town,1,0,1,1.0,1.5
1038,ManchesterUnited,Everton,3,0,1,1.0,2.5
1039,ManchesterUnited,Newcastle Utd,0,1,-1,0.0,1.5
1040,ManchesterUnited,Chelsea,2,1,1,0.0,2.5
1041,ManchesterUnited,Bournemouth,0,3,-1,-0.5,1.0
1042,ManchesterUnited,Liverpool,0,0,0,0.0,1.0
1043,ManchesterUnited,West Ham,0,2,-1,0.0,1.5
1044,ManchesterUnited,Aston Villa,3,2,1,1.0,2.5
1045,ManchesterUnited,Nott'ham Forest,1,2,-1,0.0,2.0
1046,ManchesterUnited,Tottenham,2,2,0,-0.5,1.0
1047,ManchesterUnited,Wolves,4,3,1,1.0,2.5
1048,ManchesterUnited,West Ham,3,0,1,0.0,1.5
1049,ManchesterUnited,Aston Villa,2,1,1,1.0,2.5
1050,ManchesterUnited,Luton Town,2,1,1,1.0,1.5
1051,ManchesterUnited,Fulham,1,2,-1,0.0,1.0
1052,ManchesterUnited,Manchester City,1,3,-1,-1.0,0.5
1053,ManchesterUnited,Everton,2,0,1,1.0,2.5
1054,ManchesterUnited,Brentford,1,1,0,0.5,1.5
1055,ManchesterUnited,Chelsea,3,4,-1,0.0,2.5
1056,ManchesterUnited,Liverpool,2,2,0,0.0,1.0
1057,ManchesterUnited,Bournemouth,2,2,0,-0.5,1.0
1058,ManchesterUnited,Sheffield Utd,4,2,1,1.0,3.0
1059,ManchesterUnited,Burnley,1,1,0,0.5,1.0
1060,ManchesterUnited,Crystal Palace,0,4,-1,-1.0,0.0
1061,ManchesterUnited,Arsenal,0,1,-1,-1.0,0.5
1062,ManchesterUnited,Newcastle Utd,3,2,1,0.0,1.5
1063,ManchesterUnited,Brighton,2,0,1,0.0,1.5
1064,WestHamUnited,Bournemouth,1,1,0,0.0,1.0
1065,WestHamUnited,Chelsea,3,1,1,0.0,1.5
1066,WestHamUnited,Brighton,3,1,1,0.5,1.5
1067,WestHamUnited,Luton Town,2,1,1,1.0,2.5
1068,WestHamUnited,Manchester City,1,3,-1,-1.0,1.0
1069,WestHamUnited,Liverpool,1,3,-1,-0.5,1.5
1070,WestHamUnited,Sheffield Utd,2,0,1,0.5,2.0
1071,WestHamUnited,Newcastle Utd,2,2,0,-0.5,2.5
1072,WestHamUnited,Aston Villa,1,4,-1,-0.5,1.0
1073,WestHamUnited,Everton,0,1,-1,0.0,1.5
1074,WestHamUnited,Brentford,2,3,-1,0.0,3.0
1075,WestHamUnited,Nott'ham Forest,3,2,1,0.0,1.5
1076,WestHamUnited,Burnley,2,1,1,0.5,2.0
1077,WestHamUnited,Crystal Palace,1,1,0,-0.5,1.5
1078,WestHamUnited,Tottenham,2,1,1,0.5,1.5
1079,WestHamUnited,Fulham,0,5,-1,-1.0,0.0
1080,WestHamUnited,Wolves,3,0,1,1.0,2.5
1081,WestHamUnited,Manchester Utd,2,0,1,0.0,1.0
1082,WestHamUnited,Arsenal,2,0,1,0.0,1.0
1083,WestHamUnited,Brighton,0,0,0,0.5,1.5
1084,WestHamUnited,Sheffield Utd,2,2,0,0.5,2.0
1085,WestHamUnited,Bournemouth,1,1,0,0.0,1.0
1086,WestHamUnited,Manchester Utd,0,3,-1,0.0,1.0
1087,WestHamUnited,Arsenal,0,6,-1,0.0,1.0
1088,WestHamUnited,Nott'ham Forest,0,2,-1,0.0,1.5
1089,WestHamUnited,Brentford,4,2,1,0.0,3.0
1090,WestHamUnited,Everton,3,1,1,0.0,1.5
1091,WestHamUnited,Burnley,2,2,0,0.5,2.0
1092,WestHamUnited,Aston Villa,1,1,0,-0.5,1.0
1093,WestHamUnited,Newcastle Utd,3,4,-1,-0.5,2.5
1094,WestHamUnited,Tottenham,1,1,0,0.5,1.5
1095,WestHamUnited,Wolves,2,1,1,1.0,2.5
1096,WestHamUnited,Fulham,0,2,-1,-1.0,0.0
1097,WestHamUnited,Crystal Palace,2,5,-1,-0.5,1.5
1098,WestHamUnited,Liverpool,2,2,0,-0.5,1.5
1099,WestHamUnited,Chelsea,0,5,-1,0.0,1.5
1100,WestHamUnited,Luton Town,3,1,1,1.0,2.5
1101,WestHamUnited,Manchester City,1,3,-1,-1.0,1.0
1102,CrystalPalace,Sheffield Utd,1,0,1,1.0,2.0
1103,CrystalPalace,Arsenal,0,1,-1,-1.0,0.0
1104,CrystalPalace,Brentford,1,1,0,0.5,2.0
1105,CrystalPalace,Wolves,3,2,1,1.0,3.0
1106,CrystalPalace,Aston Villa,1,3,-1,0.0,3.0
1107,CrystalPalace,Fulham,0,0,0,0.0,0.5
1108,CrystalPalace,Manchester Utd,1,0,1,1.0,2.5
1109,CrystalPalace,Nott'ham Forest,0,0,0,0.0,0.5
1110,CrystalPalace,Newcastle Utd,0,4,-1,0.0,1.0
1111,CrystalPalace,Tottenham,1,2,-1,-1.0,1.0
1112,CrystalPalace,Burnley,2,0,1,1.0,2.5
1113,CrystalPalace,Everton,2,3,-1,-0.5,1.5
1114,CrystalPalace,Luton Town,1,2,-1,-0.5,1.0
1115,CrystalPalace,West Ham,1,1,0,0.5,3.0
1116,CrystalPalace,Bournemouth,0,2,-1,-1.0,0.0
1117,CrystalPalace,Liverpool,1,2,-1,0.0,1.0
1118,CrystalPalace,Manchester City,2,2,0,-0.5,2.0
1119,CrystalPalace,Brighton,1,1,0,-0.5,1.0
1120,CrystalPalace,Chelsea,1,2,-1,-1.0,1.0
1121,CrystalPalace,Brentford,3,1,1,0.5,2.0
1122,CrystalPalace,Arsenal,0,5,-1,-1.0,0.0
1123,CrystalPalace,Sheffield Utd,3,2,1,1.0,2.0
1124,CrystalPalace,Brighton,1,4,-1,-0.5,1.0
1125,CrystalPalace,Chelsea,1,3,-1,-1.0,1.0
1126,CrystalPalace,Everton,1,1,0,-0.5,1.5
1127,CrystalPalace,Burnley,3,0,1,1.0,2.5
1128,CrystalPalace,Tottenham,1,3,-1,-1.0,1.0
1129,CrystalPalace,Luton Town,1,1,0,-0.5,1.0
1130,CrystalPalace,Nott'ham Forest,1,1,0,0.0,0.5
1131,CrystalPalace,Bournemouth,0,1,-1,-1.0,0.0
1132,CrystalPalace,Manchester City,2,4,-1,-0.5,2.0
1133,CrystalPalace,Liverpool,1,0,1,0.0,1.0
1134,CrystalPalace,West Ham,5,2,1,0.5,3.0
1135,CrystalPalace,Newcastle Utd,2,0,1,0.0,1.0
1136,CrystalPalace,Fulham,1,1,0,0.0,0.5
1137,CrystalPalace,Manchester Utd,4,0,1,1.0,2.5
1138,CrystalPalace,Wolves,3,1,1,1.0,3.0
1139,CrystalPalace,Aston Villa,5,0,1,0.0,3.0
1140,BrightonandHoveAlbion,Luton Town,4,1,1,0.0,2.0
1141,BrightonandHoveAlbion,Wolves,4,1,1,0.5,2.0
1142,BrightonandHoveAlbion,West Ham,1,3,-1,-0.5,0.5
1143,BrightonandHoveAlbion,Newcastle Utd,3,1,1,0.5,2.0
1144,BrightonandHoveAlbion,Manchester Utd,3,1,1,0.0,1.5
1145,BrightonandHoveAlbion,Bournemouth,3,1,1,0.0,1.5
1146,BrightonandHoveAlbion,Aston Villa,1,6,-1,0.0,1.0
1147,BrightonandHoveAlbion,Liverpool,2,2,0,-0.5,1.5
1148,BrightonandHoveAlbion,Manchester City,1,2,-1,-1.0,0.5
1149,BrightonandHoveAlbion,Fulham,1,1,0,-0.5,0.5
1150,BrightonandHoveAlbion,Everton,1,1,0,0.0,1.0
1151,BrightonandHoveAlbion,Sheffield Utd,1,1,0,0.5,3.0
1152,BrightonandHoveAlbion,Nott'ham Forest,3,2,1,1.0,2.0
1153,BrightonandHoveAlbion,Chelsea,2,3,-1,-1.0,1.5
1154,BrightonandHoveAlbion,Brentford,2,1,1,0.5,1.0
1155,BrightonandHoveAlbion,Burnley,1,1,0,0.0,1.0
1156,BrightonandHoveAlbion,Arsenal,0,2,-1,-1.0,0.0
1157,BrightonandHoveAlbion,Crystal Palace,1,1,0,0.5,2.5
1158,BrightonandHoveAlbion,Tottenham,4,2,1,0.0,2.5
1159,BrightonandHoveAlbion,West Ham,0,0,0,-0.5,0.5
1160,BrightonandHoveAlbion,Wolves,0,0,0,0.5,2.0
1161,BrightonandHoveAlbion,Luton Town,0,4,-1,0.0,2.0
1162,BrightonandHoveAlbion,Crystal Palace,4,1,1,0.5,2.5
1163,BrightonandHoveAlbion,Tottenham,1,2,-1,0.0,2.5
1164,BrightonandHoveAlbion,Sheffield Utd,5,0,1,0.5,3.0
1165,BrightonandHoveAlbion,Everton,1,1,0,0.0,1.0
1166,BrightonandHoveAlbion,Fulham,0,3,-1,-0.5,0.5
1167,BrightonandHoveAlbion,Nott'ham Forest,1,0,1,1.0,2.0
1168,BrightonandHoveAlbion,Liverpool,1,2,-1,-0.5,1.5
1169,BrightonandHoveAlbion,Brentford,0,0,0,0.5,1.0
1170,BrightonandHoveAlbion,Arsenal,0,3,-1,-1.0,0.0
1171,BrightonandHoveAlbion,Burnley,1,1,0,0.0,1.0
1172,BrightonandHoveAlbion,Manchester City,0,4,-1,-1.0,0.5
1173,BrightonandHoveAlbion,Bournemouth,0,3,-1,0.0,1.5
1174,BrightonandHoveAlbion,Aston Villa,1,0,1,0.0,1.0
1175,BrightonandHoveAlbion,Newcastle Utd,1,1,0,0.5,2.0
1176,BrightonandHoveAlbion,Chelsea,1,2,-1,-1.0,1.5
1177,BrightonandHoveAlbion,Manchester Utd,0,2,-1,0.0,1.5
1178,Bournemouth,West Ham,1,1,0,-0.3333333333333333,0.6666666666666666
1179,Bournemouth,Liverpool,1,3,-1,-0.3333333333333333,0.6666666666666666
1180,Bournemouth,Tottenham,0,2,-1,-1.0,1.0
1181,Bournemouth,Brentford,2,2,0,-0.3333333333333333,1.0
1182,Bournemouth,Chelsea,0,0,0,-0.6666666666666666,0.6666666666666666
1183,Bournemouth,Brighton,1,3,-1,-0.3333333333333333,1.3333333333333333
1184,Bournemouth,Arsenal,0,4,-1,-1.0,0.0
1185,Bournemouth,Everton,0,3,-1,0.3333333333333333,1.6666666666666667
1186,Bournemouth,Wolves,1,2,-1,0.0,0.6666666666666666
1187,Bournemouth,Burnley,2,1,1,1.0,2.0
1188,Bournemouth,Manchester City,1,6,-1,-1.0,0.5
1189,Bournemouth,Newcastle Utd,2,0,1,0.5,2.0
1190,Bournemouth,Sheffield Utd,3,1,1,0.5,2.5
1191,Bournemouth,Aston Villa,2,2,0,0.0,1.6666666666666667
1192,Bournemouth,Crystal Palace,2,0,1,0.3333333333333333,1.0
1193,Bournemouth,Manchester Utd,3,0,1,0.5,2.5
1194,Bournemouth,Nott'ham Forest,3,2,1,0.5,2.0
1195,Bournemouth,Fulham,3,0,1,0.3333333333333333,2.0
1196,Bournemouth,Tottenham,1,3,-1,-1.0,1.0
1197,Bournemouth,Liverpool,0,4,-1,-0.3333333333333333,0.6666666666666666
1198,Bournemouth,West Ham,1,1,0,-0.3333333333333333,0.6666666666666666
1199,Bournemouth,Nott'ham Forest,1,1,0,0.5,2.0
1200,Bournemouth,Fulham,1,3,-1,0.3333333333333333,2.0
1201,Bournemouth,Newcastle Utd,2,2,0,0.5,2.0
1202,Bournemouth,Manchester City,0,1,-1,-1.0,0.5
1203,Bournemouth,Burnley,2,0,1,1.0,2.0
1204,Bournemouth,Sheffield Utd,2,2,0,0.5,2.5
1205,Bournemouth,Luton Town,4,3,1,0.0,2.5
1206,Bournemouth,Everton,2,1,1,0.3333333333333333,1.6666666666666667
1207,Bournemouth,Crystal Palace,1,0,1,0.3333333333333333,1.0
1208,Bournemouth,Luton Town,1,2,-1,0.0,2.5
1209,Bournemouth,Manchester Utd,2,2,0,0.5,2.5
1210,Bournemouth,Aston Villa,1,3,-1,0.0,1.6666666666666667
1211,Bournemouth,Wolves,1,0,1,0.0,0.6666666666666666
1212,Bournemouth,Brighton,3,0,1,-0.3333333333333333,1.3333333333333333
1213,Bournemouth,Arsenal,0,3,-1,-1.0,0.0
1214,Bournemouth,Brentford,1,2,-1,-0.3333333333333333,1.0
1215,Bournemouth,Chelsea,1,2,-1,-0.6666666666666666,0.6666666666666666
1216,Fulham,Everton,1,0,1,0.3333333333333333,0.3333333333333333
1217,Fulham,Brentford,0,3,-1,0.0,1.0
1218,Fulham,Arsenal,2,2,0,0.0,1.3333333333333333
1219,Fulham,Manchester City,1,5,-1,-1.0,0.5
1220,Fulham,Luton Town,1,0,1,1.0,2.5
1221,Fulham,Crystal Palace,0,0,0,0.0,1.0
1222,Fulham,Chelsea,0,2,-1,-0.3333333333333333,0.6666666666666666
1223,Fulham,Sheffield Utd,3,1,1,0.5,3.0
1224,Fulham,Tottenham,0,2,-1,-0.3333333333333333,1.0
1225,Fulham,Brighton,1,1,0,0.6666666666666666,2.0
1226,Fulham,Manchester Utd,0,1,-1,0.0,1.0
1227,Fulham,Aston Villa,1,3,-1,-0.3333333333333333,1.6666666666666667
1228,Fulham,Wolves,3,2,1,0.0,1.6666666666666667
1229,Fulham,Liverpool,3,4,-1,-0.6666666666666666,2.0
1230,Fulham,Nott'ham Forest,5,0,1,0.0,3.0
1231,Fulham,West Ham,5,0,1,0.3333333333333333,2.3333333333333335
1232,Fulham,Newcastle Utd,0,3,-1,-1.0,0.0
1233,Fulham,Burnley,0,2,-1,-0.5,1.0
1234,Fulham,Bournemouth,0,3,-1,0.0,1.6666666666666667
1235,Fulham,Arsenal,2,1,1,0.0,1.3333333333333333
1236,Fulham,Chelsea,0,1,-1,-0.3333333333333333,0.6666666666666666
1237,Fulham,Everton,0,0,0,0.3333333333333333,0.3333333333333333
1238,Fulham,Burnley,2,2,0,-0.5,1.0
1239,Fulham,Bournemouth,3,1,1,0.0,1.6666666666666667
1240,Fulham,Aston Villa,1,2,-1,-0.3333333333333333,1.6666666666666667
1241,Fulham,Manchester Utd,2,1,1,0.0,1.0
1242,Fulham,Brighton,3,0,1,0.6666666666666666,2.0
1243,Fulham,Wolves,1,2,-1,0.0,1.6666666666666667
1244,Fulham,Tottenham,3,0,1,-0.3333333333333333,1.0
1245,Fulham,Sheffield Utd,3,3,0,0.5,3.0
1246,Fulham,Nott'ham Forest,1,3,-1,0.0,3.0
1247,Fulham,Newcastle Utd,0,1,-1,-1.0,0.0
1248,Fulham,West Ham,2,0,1,0.3333333333333333,2.3333333333333335
1249,Fulham,Liverpool,1,3,-1,-0.6666666666666666,2.0
1250,Fulham,Crystal Palace,1,1,0,0.0,1.0
1251,Fulham,Brentford,0,0,0,0.0,1.0
1252,Fulham,Manchester City,0,4,-1,-1.0,0.5
1253,Fulham,Luton Town,4,2,1,1.0,2.5
1254,WolverhamptonWanderers,Manchester Utd,0,1,-1,-1.0,1.5
1255,WolverhamptonWanderers,Brighton,1,4,-1,-0.5,0.5
1256,WolverhamptonWanderers,Everton,1,0,1,1.0,2.0
1257,WolverhamptonWanderers,Crystal Palace,2,3,-1,-1.0,1.5
1258,WolverhamptonWanderers,Liverpool,1,3,-1,-1.0,0.5
1259,WolverhamptonWanderers,Luton Town,1,1,0,0.5,1.5
1260,WolverhamptonWanderers,Manchester City,2,1,1,0.0,1.5
1261,WolverhamptonWanderers,Aston Villa,1,1,0,-0.5,0.5
1262,WolverhamptonWanderers,Bournemouth,2,1,1,0.0,1.0
1263,WolverhamptonWanderers,Newcastle Utd,2,2,0,-0.5,1.0
1264,WolverhamptonWanderers,Sheffield Utd,1,2,-1,0.0,1.0
1265,WolverhamptonWanderers,Tottenham,2,1,1,1.0,2.0
1266,WolverhamptonWanderers,Fulham,2,3,-1,0.0,2.0
1267,WolverhamptonWanderers,Arsenal,1,2,-1,-1.0,0.5
1268,WolverhamptonWanderers,Burnley,1,0,1,0.5,1.0
1269,WolverhamptonWanderers,Nott'ham Forest,1,1,0,0.0,1.5
1270,WolverhamptonWanderers,West Ham,0,3,-1,-1.0,0.5
1271,WolverhamptonWanderers,Chelsea,2,1,1,1.0,3.0
1272,WolverhamptonWanderers,Brentford,4,1,1,0.0,2.0
1273,WolverhamptonWanderers,Everton,3,0,1,1.0,2.0
1274,WolverhamptonWanderers,Brighton,0,0,0,-0.5,0.5
1275,WolverhamptonWanderers,Manchester Utd,3,4,-1,-1.0,1.5
1276,WolverhamptonWanderers,Chelsea,4,2,1,1.0,3.0
1277,WolverhamptonWanderers,Brentford,0,2,-1,0.0,2.0
1278,WolverhamptonWanderers,Tottenham,2,1,1,1.0,2.0
1279,WolverhamptonWanderers,Sheffield Utd,1,0,1,0.0,1.0
1280,WolverhamptonWanderers,Newcastle Utd,0,3,-1,-0.5,1.0
1281,WolverhamptonWanderers,Fulham,2,1,1,0.0,2.0
1282,WolverhamptonWanderers,Aston Villa,0,2,-1,-0.5,0.5
1283,WolverhamptonWanderers,Burnley,1,1,0,0.5,1.0
1284,WolverhamptonWanderers,West Ham,1,2,-1,-1.0,0.5
1285,WolverhamptonWanderers,Nott'ham Forest,2,2,0,0.0,1.5
1286,WolverhamptonWanderers,Arsenal,0,2,-1,-1.0,0.5
1287,WolverhamptonWanderers,Bournemouth,0,1,-1,0.0,1.0
1288,WolverhamptonWanderers,Luton Town,2,1,1,0.5,1.5
1289,WolverhamptonWanderers,Manchester City,1,5,-1,0.0,1.5
1290,WolverhamptonWanderers,Crystal Palace,1,3,-1,-1.0,1.5
1291,WolverhamptonWanderers,Liverpool,0,2,-1,-1.0,0.5
1292,Everton,Fulham,0,1,-1,-0.6666666666666666,0.3333333333333333
1293,Everton,Aston Villa,0,4,-1,-0.75,0.0
1294,Everton,Wolves,0,1,-1,-1.0,0.25
1295,Everton,Sheffield Utd,2,2,0,0.5,1.5
1296,Everton,Arsenal,0,1,-1,0.0,1.0
1297,Everton,Brentford,3,1,1,0.5,1.75
1298,Everton,Luton Town,1,2,-1,-0.5,1.0
1299,Everton,Bournemouth,3,0,1,0.3333333333333333,1.6666666666666667
1300,Everton,Liverpool,0,2,-1,-0.25,0.75
1301,Everton,West Ham,1,0,1,0.0,0.75
1302,Everton,Brighton,1,1,0,-0.5,1.25
1303,Everton,Crystal Palace,3,2,1,0.75,2.5
1304,Everton,Manchester Utd,0,3,-1,-1.0,0.0
1305,Everton,Nott'ham Forest,1,0,1,1.0,1.5
1306,Everton,Newcastle Utd,3,0,1,0.5,2.0
1307,Everton,Chelsea,2,0,1,0.0,0.75
1308,Everton,Burnley,2,0,1,1.0,2.0
1309,Everton,Tottenham,1,2,-1,-0.25,1.0
1310,Everton,Manchester City,1,3,-1,-1.0,0.5
1311,Everton,Wolves,0,3,-1,-1.0,0.25
1312,Everton,Aston Villa,0,0,0,-0.75,0.0
1313,Everton,Fulham,0,0,0,-0.6666666666666666,0.3333333333333333
1314,Everton,Tottenham,2,2,0,-0.25,1.0
1315,Everton,Manchester City,0,2,-1,-1.0,0.5
1316,Everton,Crystal Palace,1,1,0,0.75,2.5
1317,Everton,Brighton,1,1,0,-0.5,1.25
1318,Everton,West Ham,1,3,-1,0.0,0.75
1319,Everton,Manchester Utd,0,2,-1,-1.0,0.0
1320,Everton,Bournemouth,1,2,-1,0.3333333333333333,1.6666666666666667
1321,Everton,Newcastle Utd,1,1,0,0.5,2.0
1322,Everton,Burnley,1,0,1,1.0,2.0
1323,Everton,Chelsea,0,6,-1,0.0,0.75
1324,Everton,Nott'ham Forest,2,0,1,1.0,1.5
1325,Everton,Liverpool,2,0,1,-0.25,0.75
1326,Everton,Brentford,1,0,1,0.5,1.75
1327,Everton,Luton Town,1,1,0,-0.5,1.0
1328,Everton,Sheffield Utd,1,0,1,0.5,1.5
1329,Everton,Arsenal,1,2,-1,0.0,1.0
1330,Brentford,Tottenham,2,2,0,-0.25,1.5
1331,Brentford,Fulham,3,0,1,0.6666666666666666,2.0
1332,Brentford,Crystal Palace,1,1,0,-0.25,0.75
1333,Brentford,Bournemouth,2,2,0,0.6666666666666666,2.0
1334,Brentford,Newcastle Utd,0,1,-1,-1.0,1.0
1335,Brentford,Everton,1,3,-1,-0.25,0.75
1336,Brentford,Nott'ham Forest,1,1,0,0.5,2.0
1337,Brentford,Manchester Utd,1,2,-1,-0.5,1.0
1338,Brentford,Burnley,3,0,1,0.3333333333333333,2.0
1339,Brentford,Chelsea,2,0,1,0.0,1.0
1340,Brentford,West Ham,3,2,1,0.5,2.25
1341,Brentford,Liverpool,0,3,-1,-0.25,1.75
1342,Brentford,Arsenal,0,1,-1,-0.5,0.75
1343,Brentford,Luton Town,3,1,1,1.0,4.0
1344,Brentford,Brighton,1,2,-1,-0.25,0.75
1345,Brentford,Sheffield Utd,0,1,-1,0.0,1.0
1346,Brentford,Aston Villa,1,2,-1,0.0,1.75
1347,Brentford,Wolves,1,4,-1,-0.25,1.25
1348,Brentford,Crystal Palace,1,3,-1,-0.25,0.75
1349,Brentford,Nott'ham Forest,3,2,1,0.5,2.0
1350,Brentford,Tottenham,2,3,-1,-0.25,1.5
1351,Brentford,Manchester City,1,3,-1,-1.0,0.5
1352,Brentford,Wolves,2,0,1,-0.25,1.25
1353,Brentford,Liverpool,1,4,-1,-0.25,1.75
1354,Brentford,Manchester City,0,1,-1,-1.0,0.5
1355,Brentford,West Ham,2,4,-1,0.5,2.25
1356,Brentford,Chelsea,2,2,0,0.0,1.0
1357,Brentford,Arsenal,1,2,-1,-0.5,0.75
1358,Brentford,Burnley,1,2,-1,0.3333333333333333,2.0
1359,Brentford,Manchester Utd,1,1,0,-0.5,1.0
1360,Brentford,Brighton,0,0,0,-0.25,0.75
1361,Brentford,Aston Villa,3,3,0,0.0,1.75
1362,Brentford,Sheffield Utd,2,0,1,0.0,1.0
1363,Brentford,Luton Town,5,1,1,1.0,4.0
1364,Brentford,Everton,0,1,-1,-0.25,0.75
1365,Brentford,Fulham,0,0,0,0.6666666666666666,2.0
1366,Brentford,Bournemouth,2,1,1,0.6666666666666666,2.0
1367,Brentford,Newcastle Utd,2,4,-1,-1.0,1.0
1368,NottinghamForest,Arsenal,1,2,-1,-1.0,1.0
1369,NottinghamForest,Sheffield Utd,2,1,1,1.0,2.5
1370,NottinghamForest,Manchester Utd,2,3,-1,0.0,2.0
1371,NottinghamForest,Chelsea,1,0,1,0.0,1.5
1372,NottinghamForest,Burnley,1,1,0,0.5,1.5
1373,NottinghamForest,Manchester City,0,2,-1,-1.0,0.0
1374,NottinghamForest,Brentford,1,1,0,-0.5,1.5
1375,NottinghamForest,Crystal Palace,0,0,0,0.0,0.5
1376,NottinghamForest,Luton Town,2,2,0,0.0,1.5
1377,NottinghamForest,Liverpool,0,3,-1,-1.0,0.0
1378,NottinghamForest,Aston Villa,2,0,1,0.0,2.0
1379,NottinghamForest,West Ham,2,3,-1,0.0,2.0
1380,NottinghamForest,Brighton,2,3,-1,-1.0,1.0
1381,NottinghamForest,Everton,0,1,-1,-1.0,0.0
1382,NottinghamForest,Fulham,0,5,-1,0.0,1.5
1383,NottinghamForest,Wolves,1,1,0,0.0,1.5
1384,NottinghamForest,Tottenham,0,2,-1,-1.0,0.5
1385,NottinghamForest,Bournemouth,2,3,-1,-0.5,1.5
1386,NottinghamForest,Newcastle Utd,3,1,1,0.0,2.5
1387,NottinghamForest,Manchester Utd,2,1,1,0.0,2.0
1388,NottinghamForest,Brentford,2,3,-1,-0.5,1.5
1389,NottinghamForest,Arsenal,1,2,-1,-1.0,1.0
1390,NottinghamForest,Bournemouth,1,1,0,-0.5,1.5
1391,NottinghamForest,Newcastle Utd,2,3,-1,0.0,2.5
1392,NottinghamForest,West Ham,2,0,1,0.0,2.0
1393,NottinghamForest,Aston Villa,2,4,-1,0.0,2.0
1394,NottinghamForest,Liverpool,0,1,-1,-1.0,0.0
1395,NottinghamForest,Brighton,0,1,-1,-1.0,1.0
1396,NottinghamForest,Luton Town,1,1,0,0.0,1.5
1397,NottinghamForest,Crystal Palace,1,1,0,0.0,0.5
1398,NottinghamForest,Fulham,3,1,1,0.0,1.5
1399,NottinghamForest,Tottenham,1,3,-1,-1.0,0.5
1400,NottinghamForest,Wolves,2,2,0,0.0,1.5
1401,NottinghamForest,Everton,0,2,-1,-1.0,0.0
